Tempo (s),DC Current (V),DC Current (A),Torque (Nm),Speed (rpm),Temp Mos 1 (ºC),Temp Mos 2 (ºC),Temp Motor (ºC),Temp do sensor capacitivo (ºC),Velocidade atual (km/h),km total,km atual,Driving Mode,Brake Switch,,Data (DD/MM/AA):,18,11,24,,Hora inicio:,,,Hora Fim:,
50.637,75.5,-75.5,-131.73,334,18,18,28,18,35,0,0,ECO,ON,,,,,,,,,,,
50.887,75.9,-94.6,-292.09,309,18,18,28,18,33,0,0,ECO,ON,,,,,,,,,,,
51.138,75.8,-89.2,-292.09,-911,18,18,29,18,28,0,0,ECO,ON,,,,,,,,,,,
51.388,75.5,-78.5,-161.84,264,18,18,28,18,26,0,0,ECO,OFF,,,,,,,,,,,
51.638,75.1,-17.9,-29.2,256,18,18,28,18,25,0,0,ECO,OFF,,,,,,,,,,,
51.888,74.1,56.3,106.22,266,18,18,28,18,26,0,0,ECO,OFF,,,,,,,,,,,
52.138,74.3,43.4,79.54,272,18,18,29,18,26,0,0,ECO,OFF,,,,,,,,,,,
52.387,74.9,0,0,271,18,18,29,18,26,0,0,ECO,OFF,,,,,,,,,,,
52.638,74.9,0,0,271,18,18,29,18,26,0,0,ECO,OFF,,,,,,,,,,,
52.888,74.9,0,0,269,18,18,29,18,26,0,0,ECO,OFF,,,,,,,,,,,
53.137,74.9,0,0,264,18,18,29,18,26,0,0,ECO,OFF,,,,,,,,,,,
53.388,74.9,0,0,263,18,18,30,18,25,0,0,ECO,OFF,,,,,,,,,,,
53.637,74.9,0,0,260,18,18,30,18,25,0,0,ECO,OFF,,,,,,,,,,,
53.887,75.1,-13.7,-32.84,248,18,18,29,18,25,0,0,ECO,ON,,,,,,,,,,,
54.137,75.3,-34.1,-83.19,238,18,18,30,18,24,0,0.1,ECO,ON,,,,,,,,,,,
54.387,74.9,-0.3,0,231,18,18,30,18,23,0,0.1,ECO,OFF,,,,,,,,,,,
54.637,75.0,-0.1,0,227,18,18,30,18,22,0,0.1,ECO,OFF,,,,,,,,,,,
54.887,74.9,-0.1,0,227,18,18,29,18,22,0,0.1,ECO,OFF,,,,,,,,,,,
55.137,74.9,5.6,15.41,227,18,18,30,18,22,0,0.1,ECO,OFF,,,,,,,,,,,
55.387,74.7,13.1,27.17,229,18,18,30,18,22,0,0.1,ECO,OFF,,,,,,,,,,,
55.637,74.9,2.1,2.01,225,18,18,29,18,22,0,0.1,ECO,OFF,,,,,,,,,,,
55.887,74.9,3.4,10.52,224,18,18,30,18,22,0,0.1,ECO,OFF,,,,,,,,,,,
56.137,74.5,34.1,72.54,231,18,18,30,18,21,0,0.1,ECO,OFF,,,,,,,,,,,
56.387,74.3,38.5,82.3,237,18,18,31,18,22,0,0.1,ECO,OFF,,,,,,,,,,,
56.637,74.3,42,83.94,250,18,18,29,18,23,0,0.1,ECO,OFF,,,,,,,,,,,
56.887,74.0,60.3,126.52,254,18,18,29,18,24,0,0.1,ECO,OFF,,,,,,,,,,,
57.137,74.0,73.5,127.3,267,18,18,30,18,25,0,0.1,ECO,OFF,,,,,,,,,,,
57.387,74.8,0.9,0,268,18,18,30,18,26,0,0.1,ECO,OFF,,,,,,,,,,,
57.637,74.9,0,0,265,18,18,31,18,26,0,0.1,ECO,OFF,,,,,,,,,,,
57.887,74.9,0,0,264,18,18,31,18,26,0,0.1,ECO,OFF,,,,,,,,,,,
58.137,74.8,9.3,19.16,257,18,18,30,18,26,0,0.1,ECO,OFF,,,,,,,,,,,
58.387,74.9,2.2,4.57,252,18,18,30,18,25,0,0.1,ECO,OFF,,,,,,,,,,,
58.637,74.9,0,0,250,18,18,31,18,24,0,0.1,ECO,OFF,,,,,,,,,,,
58.887,74.9,0,0,246,18,18,30,18,24,0,0.1,ECO,OFF,,,,,,,,,,,
59.137,74.8,0,0,242,18,18,31,18,24,0,0.1,ECO,OFF,,,,,,,,,,,
59.387,74.8,0,0,239,18,18,31,18,23,0,0.1,ECO,OFF,,,,,,,,,,,
59.637,74.6,25.6,64.89,236,18,18,30,18,23,0,0.1,ECO,OFF,,,,,,,,,,,
59.887,73.8,-932.1,152.34,249,18,18,30,18,23,0,0.1,ECO,OFF,,,,,,,,,,,
60.137,73.5,92.3,174.48,265,18,18,30,18,24,0,0.1,ECO,OFF,,,,,,,,,,,
60.387,73.5,99.2,174.48,-919,18,18,31,18,26,0,0.1,ECO,OFF,,,,,,,,,,,
60.637,74.0,101.9,166.8,303,18,18,31,18,27,0,0.1,ECO,OFF,,,,,,,,,,,
60.887,73.4,-931.1,160.75,313,18,18,31,18,31,0,0.1,ECO,OFF,,,,,,,,,,,
61.137,74.8,3.8,0,314,18,18,31,18,31,0,0.1,ECO,OFF,,,,,,,,,,,
61.387,74.8,0,0,309,18,18,32,18,30,0,0.1,ECO,OFF,,,,,,,,,,,
61.637,74.8,0,0,304,18,18,32,18,30,0,0.1,ECO,OFF,,,,,,,,,,,
